Particles,ll,Algorithm
10,798.6240097589558,Bootstrap
10,705.4142812226925,Bootstrap
10,774.4596811277398,Bootstrap
10,738.5345938003703,Bootstrap
10,720.694025639748,Bootstrap
10,750.566259460282,Bootstrap
10,751.6871241148721,Bootstrap
10,723.446520524257,Bootstrap
10,755.7087684480942,Bootstrap
10,684.0788712993078,Bootstrap
10,751.777006004678,Bootstrap
10,752.0697106327622,Bootstrap
10,735.9043076169113,Bootstrap
10,678.1417849901477,Bootstrap
10,722.6518049718837,Bootstrap
10,758.4356280364082,Bootstrap
10,754.8876964895305,Bootstrap
10,752.4834240090245,Bootstrap
10,768.1354864240358,Bootstrap
10,760.5201026615823,Bootstrap
10,843.5483846020323,Twisted
10,866.5659682038594,Twisted
10,847.0318419934944,Twisted
10,852.205082039626,Twisted
10,865.2453132661361,Twisted
10,867.1576941806878,Twisted
10,844.883320724937,Twisted
10,857.6437539063418,Twisted
10,846.6705715639558,Twisted
10,861.5450239236383,Twisted
10,869.6676286837775,Twisted
10,876.6074777965363,Twisted
10,849.0898438401902,Twisted
10,850.6124628849408,Twisted
10,856.5280292226721,Twisted
10,870.1829781838666,Twisted
10,833.4688373297979,Twisted
10,827.6704866161957,Twisted
10,856.751644864296,Twisted
10,847.0701377744226,Twisted
20,839.8794384808543,Bootstrap
20,809.5538216499589,Bootstrap
20,797.3477387719545,Bootstrap
20,811.1494548194979,Bootstrap
20,793.0469705467389,Bootstrap
20,842.2754943178172,Bootstrap
20,810.5534357542855,Bootstrap
20,840.0642231442326,Bootstrap
20,818.4406987577277,Bootstrap
20,802.6832400737818,Bootstrap
20,804.6000059738144,Bootstrap
20,826.152126020548,Bootstrap
20,791.8463137212776,Bootstrap
20,805.740987113712,Bootstrap
20,817.1655776815104,Bootstrap
20,823.6265475826536,Bootstrap
20,809.6000656450859,Bootstrap
20,847.7761706613256,Bootstrap
20,826.5372988992328,Bootstrap
20,814.1787105771724,Bootstrap
20,881.8707035059745,Twisted
20,893.8004966875048,Twisted
20,888.8674279404482,Twisted
20,877.6315389929911,Twisted
20,877.0963276748149,Twisted
20,880.9145847933371,Twisted
20,888.9151800512806,Twisted
20,883.3949700414873,Twisted
20,888.0057494995011,Twisted
20,883.4461656880628,Twisted
20,891.1715853592567,Twisted
20,885.6591875399663,Twisted
20,890.1880631550969,Twisted
20,882.7260152822652,Twisted
20,885.614034285452,Twisted
20,878.5061733288078,Twisted
20,880.7741155660116,Twisted
20,867.84305309493,Twisted
20,888.9070795739716,Twisted
20,880.7470665971427,Twisted
30,808.0837171826781,Bootstrap
30,874.9958327570148,Bootstrap
30,848.7363367722804,Bootstrap
30,848.3024321088016,Bootstrap
30,830.3938027089813,Bootstrap
30,846.5301162896767,Bootstrap
30,833.1368890654983,Bootstrap
30,821.2416384464467,Bootstrap
30,836.1542336511267,Bootstrap
30,832.0136313732105,Bootstrap
30,838.1172518825614,Bootstrap
30,823.980832656102,Bootstrap
30,838.681306189383,Bootstrap
30,837.0349664960762,Bootstrap
30,844.6496322322073,Bootstrap
