likelihood,Particles,Method
-290295.99802575336,10,Bootstrap
-289275.15305833786,10,Bootstrap
-288252.00722175284,10,Bootstrap
-288093.5338797593,10,Bootstrap
-293154.6022949975,10,Bootstrap
-291221.3248174547,10,Bootstrap
-291094.4755200551,10,Bootstrap
-288319.5481869385,10,Bootstrap
-288785.11025346187,10,Bootstrap
-287800.1467274255,10,Bootstrap
-285749.60983480077,10,Bootstrap
-295906.2829334841,10,Bootstrap
-289367.29036586697,10,Bootstrap
-292498.1599433918,10,Bootstrap
-290040.41480059834,10,Bootstrap
-287979.0926321234,10,Bootstrap
-293459.5626670442,10,Bootstrap
-295553.0415004263,10,Bootstrap
-290144.00330228073,10,Bootstrap
-289844.75496273715,10,Bootstrap
-286055.46240220265,10,Bootstrap
-298379.27768806356,10,Bootstrap
-289221.84607285925,10,Bootstrap
-290998.16652664414,10,Bootstrap
-291979.59780254646,10,Bootstrap
-290660.3657296509,10,Bootstrap
-292606.99032878503,10,Bootstrap
-291592.51031962363,10,Bootstrap
-286769.0189798704,10,Bootstrap
-293671.5936579944,10,Bootstrap
-289272.39674431237,10,Bootstrap
-291257.63698865304,10,Bootstrap
-291849.28471531806,10,Bootstrap
-291050.31159365945,10,Bootstrap
-289565.872539626,10,Bootstrap
-288950.0124948491,10,Bootstrap
-288800.8666351216,10,Bootstrap
-295172.57639970625,10,Bootstrap
-290814.54247976735,10,Bootstrap
-285047.1651534072,10,Bootstrap
-295035.68920875445,10,Bootstrap
-288415.0587030929,10,Bootstrap
-293332.6954108746,10,Bootstrap
-293402.27658156713,10,Bootstrap
-291614.62980812264,10,Bootstrap
-285350.83542710147,10,Bootstrap
-297321.41304636846,10,Bootstrap
-289932.67597857676,10,Bootstrap
-296661.55874243606,10,Bootstrap
-286378.8796976013,10,Bootstrap
-290078.78347646387,10,Bootstrap
-294633.8223113765,10,Bootstrap
-294082.3453406667,10,Bootstrap
-292088.23573217914,10,Bootstrap
-292579.1728021271,10,Bootstrap
-295331.3478009483,10,Bootstrap
-288093.2985056247,10,Bootstrap
-291076.20526066015,10,Bootstrap
-291947.88003158546,10,Bootstrap
-294352.2375191705,10,Bootstrap
-291996.679286869,10,Bootstrap
-290210.9587074936,10,Bootstrap
-296585.7189805566,10,Bootstrap
-287744.72004566435,10,Bootstrap
-288320.58035399305,10,Bootstrap
-287735.7072637132,10,Bootstrap
-289343.0233171066,10,Bootstrap
-287423.25329724024,10,Bootstrap
-287159.6160737277,10,Bootstrap
-291665.9646544534,10,Bootstrap
-291247.98110552377,10,Bootstrap
-292128.27287070453,10,Bootstrap
-291426.91245098895,10,Bootstrap
-286191.1062708982,10,Bootstrap
-280716.8022712217,10,Bootstrap
-292199.7754238081,10,Bootstrap
-292202.8478751134,10,Bootstrap
-284838.78022181476,10,Bootstrap
-291038.9407037958,10,Bootstrap
-288732.1140336821,10,Bootstrap
-285405.7266315232,10,Bootstrap
-290464.8220144201,10,Bootstrap
-288600.89903305465,10,Bootstrap
-286699.37346066034,10,Bootstrap
-287376.6282332007,10,Bootstrap
-287689.86607725674,10,Bootstrap
-294569.2825994128,10,Bootstrap
-285824.5216752351,10,Bootstrap
-286383.2693055191,10,Bootstrap
-288565.87652454193,10,Bootstrap
-293671.2182250224,10,Bootstrap
-284714.03952144197,10,Bootstrap
-295273.25908679015,10,Bootstrap
-292768.00140540383,10,Bootstrap
-294753.5609992164,10,Bootstrap
-287499.73173095076,10,Bootstrap
-291438.93799849873,10,Bootstrap
-291027.2294935233,10,Bootstrap
-287018.4309369654,10,Bootstrap
-298578.398021285,10,Bootstrap
-212118.09798982125,100,Bootstrap
-207893.30210519323,100,Bootstrap
-206349.63466714876,100,Bootstrap
-210543.20484024804,100,Bootstrap
-208778.50253934984,100,Bootstrap
-210845.2825383338,100,Bootstrap
-207536.03652551648,100,Bootstrap
-209116.86420344663,100,Bootstrap
-206175.40391138228,100,Bootstrap
-210903.6888221246,100,Bootstrap
-211325.0535155517,100,Bootstrap
-207861.52388443038,100,Bootstrap
-211144.00581434715,100,Bootstrap
-207951.76401325205,100,Bootstrap
-207457.4457841607,100,Bootstrap
-206844.23997248543,100,Bootstrap
-208922.82858097198,100,Bootstrap
-210005.73534705857,100,Bootstrap
-203713.37757064335,100,Bootstrap
-205773.68791358543,100,Bootstrap
-206863.33638643075,100,Bootstrap
